Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1896,Athènes,Aquatique,Baignade, Alfred Hajos,Hongrie,Men,100M nage libre,Or
1896,Athènes,Aquatique,Baignade, Otto Herschmann,Autriche,Men,100M nage libre,Argent
1896,Athènes,Aquatique,Baignade, Dimitrios Drivas,Grèce,Men,100M nage libre pour les marins,Bronze
1896,Athènes,Aquatique,Baignade, Ioannis Malokinis,Grèce,Men,100M nage libre pour les marins,Or
1896,Athènes,Aquatique,Baignade, Spiridon Chasapis,Grèce,Men,100M nage libre pour les marins,Argent
1896,Athènes,Aquatique,Baignade, Efstathios Chorophas,Grèce,Men,1200M nage libre,Bronze
1896,Athènes,Aquatique,Baignade, Alfred Hajos,Hongrie,Men,1200M nage libre,Or
1896,Athènes,Aquatique,Baignade, Joannis Andreou,Grèce,Men,1200M nage libre,Argent
1896,Athènes,Aquatique,Baignade, Efstathios Chorophas,Grèce,Men,400M nage libre,Bronze
1896,Athènes,Aquatique,Baignade, Paul Neumann,Autriche,Men,400M nage libre,Or
1896,Athènes,Aquatique,Baignade, Antonios Pepanos,Grèce,Men,400M nage libre,Argent
1896,Athènes,Athlétisme,Athlétisme, Francis Lane,États-Unis,Men,100M,Bronze
1896,Athènes,Athlétisme,Athlétisme, Alajos Szokolyi,Hongrie,Men,100M,Bronze
1896,Athènes,Athlétisme,Athlétisme, Thomas Burke,États-Unis,Men,100M,Or
1896,Athènes,Athlétisme,Athlétisme, Fritz Hofmann,Allemagne,Men,100M,Argent
1896,Athènes,Athlétisme,Athlétisme, Thomas Curtis,États-Unis,Men,110M haies,Or
1896,Athènes,Athlétisme,Athlétisme, Grantley Goulding,Royaume-Uni,Men,110M haies,Argent
1896,Athènes,Athlétisme,Athlétisme, Albin Lermusiaux,France,Men,1500M,Bronze
1896,Athènes,Athlétisme,Athlétisme, Edwin Flack,Australie,Men,1500M,Or
1896,Athènes,Athlétisme,Athlétisme, Arthur Blake,États-Unis,Men,1500M,Argent
1896,Athènes,Athlétisme,Athlétisme, Charles Gmelin,Royaume-Uni,Men,400M,Bronze
1896,Athènes,Athlétisme,Athlétisme, Thomas Burke,États-Unis,Men,400M,Or
1896,Athènes,Athlétisme,Athlétisme, Herbert Jamison,États-Unis,Men,400M,Argent
1896,Athènes,Athlétisme,Athlétisme, Dimitrios Golemis,Grèce,Men,800M,Bronze
1896,Athènes,Athlétisme,Athlétisme, Edwin Flack,Australie,Men,800M,Or
1896,Athènes,Athlétisme,Athlétisme, Nandor Dani,Hongrie,Men,800M,Argent
1896,Athènes,Athlétisme,Athlétisme, Sotirios Versis,Grèce,Men,Lancer du disque,Bronze
1896,Athènes,Athlétisme,Athlétisme, Robert Garrett,États-Unis,Men,Lancer du disque,Or
1896,Athènes,Athlétisme,Athlétisme, Panagiotis Paraskevopoulos,Grèce,Men,Lancer du disque,Argent
1896,Athènes,Athlétisme,Athlétisme, Ellery Clark,États-Unis,Men,Saut en hauteur,Or
1896,Athènes,Athlétisme,Athlétisme, James Connolly,États-Unis,Men,Saut en hauteur,Argent
1896,Athènes,Athlétisme,Athlétisme, Robert Garrett,États-Unis,Men,Saut en hauteur,Argent
1896,Athènes,Athlétisme,Athlétisme, James Connolly,États-Unis,Men,Saut en longueur,Bronze
1896,Athènes,Athlétisme,Athlétisme, Ellery Clark,États-Unis,Men,Saut en longueur,Or
1896,Athènes,Athlétisme,Athlétisme, Robert Garrett,États-Unis,Men,Saut en longueur,Argent
1896,Athènes,Athlétisme,Athlétisme, Gyula Kellner,Hongrie,Men,Marathon,Bronze
1896,Athènes,Athlétisme,Athlétisme, Spyridon Louis,Grèce,Men,Marathon,Or
1896,Athènes,Athlétisme,Athlétisme, Kharilaos Vasilakos,Grèce,Men,Marathon,Argent
1896,Athènes,Athlétisme,Athlétisme, Evangelos Damaskos,Grèce,Men,Saut à la perche,Bronze
1896,Athènes,Athlétisme,Athlétisme, Ioannis Theodoropoulos,Grèce,Men,Saut à la perche,Bronze
1896,Athènes,Athlétisme,Athlétisme, William Welles Hoyt,États-Unis,Men,Saut à la perche,Or
1896,Athènes,Athlétisme,Athlétisme, Albert Tyler,États-Unis,Men,Saut à la perche,Argent
1896,Athènes,Athlétisme,Athlétisme, Georgios Papasideris,Grèce,Men,Lancer du poids,Bronze
1896,Athènes,Athlétisme,Athlétisme, Robert Garrett,États-Unis,Men,Lancer du poids,Or
1896,Athènes,Athlétisme,Athlétisme, Miltiadis Gouskos,Grèce,Men,Lancer du poids,Argent
1896,Athènes,Athlétisme,Athlétisme, Ioannis Persakis,Grèce,Men,Triple saut,Bronze
1896,Athènes,Athlétisme,Athlétisme, James Connolly,États-Unis,Men,Triple saut,Or
1896,Athènes,Athlétisme,Athlétisme, Alexandre Tufferi,France,Men,Triple saut,Argent
1896,Athènes,Cyclisme,Route cycliste, Edward Battel,Royaume-Uni,Men,Course sur route individuelle,Bronze
1896,Athènes,Cyclisme,Route cycliste, Aristidis Konstantinidis,Grèce,Men,Course sur route individuelle,Or
1896,Athènes,Cyclisme,Route cycliste, August Goedrich,Allemagne,Men,Course sur route individuelle,Argent
1896,Athènes,Cyclisme,Piste cyclable, Léon Flameng,France,Men,100KM,Or
1896,Athènes,Cyclisme,Piste cyclable, Georgios Kolettis,Grèce,Men,100KM,Argent
1896,Athènes,Cyclisme,Piste cyclable, Adolf Schmal,Autriche,Men,10KM,Bronze
1896,Athènes,Cyclisme,Piste cyclable, Paul Masson,France,Men,10KM,Or
1896,Athènes,Cyclisme,Piste cyclable, Léon Flameng,France,Men,10KM,Argent
1896,Athènes,Cyclisme,Piste cyclable, Adolf Schmal,Autriche,Men,Course de 12 heures,Or
1896,Athènes,Cyclisme,Piste cyclable, Frank Keeping,Royaume-Uni,Men,Course de 12 heures,Argent
1896,Athènes,Cyclisme,Piste cyclable, Adolf Schmal,Autriche,Men,1KM contre la montre,Bronze
1896,Athènes,Cyclisme,Piste cyclable, Paul Masson,France,Men,1KM contre la montre,Or
1896,Athènes,Cyclisme,Piste cyclable, Stamatios Nikolopoulos,Grèce,Men,1KM contre la montre,Argent
1896,Athènes,Cyclisme,Piste cyclable, Léon Flameng,France,Men,Sprint Indivual,Bronze
1896,Athènes,Cyclisme,Piste cyclable, Paul Masson,France,Men,Sprint Indivual,Or
1896,Athènes,Cyclisme,Piste cyclable, Stamatios Nikolopoulos,Grèce,Men,Sprint Indivual,Argent
1896,Athènes,Clôture,Clôture, Perikles Pierrakos-Mavromichalis,Grèce,Men,Feuille individuelle,Bronze
1896,Athènes,Clôture,Clôture, Eugène-Henri Gravelotte,France,Men,Feuille individuelle,Or
1896,Athènes,Clôture,Clôture, Henri Callot,France,Men,Feuille individuelle,Argent
1896,Athènes,Clôture,Clôture, Leonidas Pyrgos,Grèce,Men,"Feuille d'aluminium, maîtres",Or
1896,Athènes,Clôture,Clôture, Maurice Perronnet,France,Men,"Feuille d'aluminium, maîtres",Argent
1896,Athènes,Clôture,Clôture, Holger Nielsen,Danemark,Men,Sabre individuel,Bronze
1896,Athènes,Clôture,Clôture, Ioannis Georgiadis,Grèce,Men,Sabre individuel,Or
