Year,City,Sport,Discipline,Athlete,Country,Gender,Event,Medal
1924,Chamonix,Biathlon,Biathlon, G. Berthet,France,Men,Patrouille militaire,Bronze
1924,Chamonix,Biathlon,Biathlon, C. Mandrillon,France,Men,Patrouille militaire,Bronze
1924,Chamonix,Biathlon,Biathlon, Maurice Mandrillon,France,Men,Patrouille militaire,Bronze
1924,Chamonix,Biathlon,Biathlon, André Vandelle,France,Men,Patrouille militaire,Bronze
1924,Chamonix,Biathlon,Biathlon, Adolf Aufdenblatten,Suisse,Men,Patrouille militaire,Or
1924,Chamonix,Biathlon,Biathlon, Alphonse Julen,Suisse,Men,Patrouille militaire,Or
1924,Chamonix,Biathlon,Biathlon, Ant. Julen,Suisse,Men,Patrouille militaire,Or
1924,Chamonix,Biathlon,Biathlon, D. Vaucher,Suisse,Men,Patrouille militaire,Or
1924,Chamonix,Biathlon,Biathlon, V.E. Bremer,Finlande,Men,Patrouille militaire,Argent
1924,Chamonix,Biathlon,Biathlon, A. Eskelinen,Finlande,Men,Patrouille militaire,Argent
1924,Chamonix,Biathlon,Biathlon, H. Hirvonen,Finlande,Men,Patrouille militaire,Argent
1924,Chamonix,Biathlon,Biathlon, Martti Lappalainen,Finlande,Men,Patrouille militaire,Argent
1924,Chamonix,Bobsleigh,Bobsleigh, René Mortiaux,Belgique,Men,Quatre hommes,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh, Charles Mulder,Belgique,Men,Quatre hommes,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh, Paul Van Den Broeck,Belgique,Men,Quatre hommes,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh, Victor Verschueren,Belgique,Men,Quatre hommes,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh, Henri Williems,Belgique,Men,Quatre hommes,Bronze
1924,Chamonix,Bobsleigh,Bobsleigh, Alfred Neveu,Suisse,Men,Quatre hommes,Or
1924,Chamonix,Bobsleigh,Bobsleigh, Eduard Scherrer,Suisse,Men,Quatre hommes,Or
1924,Chamonix,Bobsleigh,Bobsleigh, Alfred Schläppi,Suisse,Men,Quatre hommes,Or
1924,Chamonix,Bobsleigh,Bobsleigh, Heinrich Schläppi,Suisse,Men,Quatre hommes,Or
1924,Chamonix,Bobsleigh,Bobsleigh, Thomas Arnold,Royaume-Uni,Men,Quatre hommes,Argent
1924,Chamonix,Bobsleigh,Bobsleigh, Ralpf Broome,Royaume-Uni,Men,Quatre hommes,Argent
1924,Chamonix,Bobsleigh,Bobsleigh, Alexander Richardson,Royaume-Uni,Men,Quatre hommes,Argent
1924,Chamonix,Bobsleigh,Bobsleigh, Rodney Soher,Royaume-Uni,Men,Quatre hommes,Argent
1924,Chamonix,Curling,Curling, H. Aldeert,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling, Georges Andre,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling,Benedic,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling, P. Canivet,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling, F. Cournollet,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling, R. Planque,France,Men,Curling,Bronze
1924,Chamonix,Curling,Curling, T. Aikman,Royaume-Uni,Men,Curling,Or
1924,Chamonix,Curling,Curling, D.-G. Astley,Royaume-Uni,Men,Curling,Or
1924,Chamonix,Curling,Curling, V. Brown,Royaume-Uni,Men,Curling,Or
1924,Chamonix,Curling,Curling, R. Cousin,Royaume-Uni,Men,Curling,Or
1924,Chamonix,Curling,Curling, V.-K. Jackson,Royaume-Uni,Men,Curling,Or
1924,Chamonix,Curling,Curling, J. Mc Leod,Royaume-Uni,Men,Curling,Or
1924,Chamonix,Curling,Curling, T.-B. Murray,Royaume-Uni,Men,Curling,Or
1924,Chamonix,Curling,Curling, R. Welsh,Royaume-Uni,Men,Curling,Or
1924,Chamonix,Curling,Curling, J.P. Ahlen,Suède,Men,Curling,Argent
1924,Chamonix,Curling,Curling, Carl Augustus Verner Kronlund,Suède,Men,Curling,Argent
1924,Chamonix,Curling,Curling, T.-M. Odlund,Suède,Men,Curling,Argent
1924,Chamonix,Curling,Curling, C.-W. Petersen,Suède,Men,Curling,Argent
1924,Chamonix,Curling,Curling, C.-A.-F. Pettersson,Suède,Men,Curling,Argent
1924,Chamonix,Curling,Curling, E.-O. Severin,Suède,Men,Curling,Argent
1924,Chamonix,Curling,Curling, K.-E. Wahlberg,Suède,Men,Curling,Argent
1924,Chamonix,Curling,Curling, V.-E. Wetterstrom,Suède,Men,Curling,Argent
1924,Chamonix,Hockey sur glace,Hockey sur glace, William Anderson,Royaume-Uni,Men,Hockey sur glace,Bronze
1924,Chamonix,Hockey sur glace,Hockey sur glace, C.-B. Boulden,Royaume-Uni,Men,Hockey sur glace,Bronze
1924,Chamonix,Hockey sur glace,Hockey sur glace, Louis Howland Carr-Harris,Royaume-Uni,Men,Hockey sur glace,Bronze
1924,Chamonix,Hockey sur glace,Hockey sur glace, Colin Gordon Carruthers,Royaume-Uni,Men,Hockey sur glace,Bronze
1924,Chamonix,Hockey sur glace,Hockey sur glace, Eric Dudley Carruthers,Royaume-Uni,Men,Hockey sur glace,Bronze
1924,Chamonix,Hockey sur glace,Hockey sur glace, Guy E. Clarkson,Royaume-Uni,Men,Hockey sur glace,Bronze
